begin;laneDensity;lane_ids;inflow;outflow
29100;1.24;158_2;72;36
29100;3.26;16_0;108;108
29100;3.59;16_1;132;120
29100;12.51;161_0;408;384
29100;2.56;161_1;108;132
29100;4.22;163_0;96;96
29100;2.22;164_0;108;96
29100;8.49;165_0;240;240
29100;1.05;165_1;0;36
29100;0.13;166_0;0;12
29100;0.12;166_1;12;0
29100;67.68;167_0;204;168
29100;14.65;167_1;72;108
29100;26.63;168_0;96;108
29100;37.03;168_1;132;120
29100;2.14;17_0;120;24
29100;0.9;17_1;12;84
29100;4.11;172_0;144;144
29100;14.74;173_0;156;144
29100;8.43;173_1;48;48
29100;3.36;175_0;120;120
29100;1.24;175_1;48;48
29100;4.19;18_0;36;144
29100;6.4;18_1;276;168
29100;0.24;181[1][1][0].32.3_0;12;12
29100;5.39;181[1][1][0].32.3_1;420;0
29100;26.05;181[1][1][0].32.3_2;204;300
29100;18.44;181[1][1][0].32.3_3;516;840
29100;0.29;181[1][1][1][0]_0;12;12
29100;;181[1][1][1][0]_1;0;0
29100;0.94;181[1][1][1][0]_2;24;24
29100;23.93;181[1][1][1][0]_3;720;720
29100;0.28;181[1][1][1][1][0]_0;12;12
29100;;181[1][1][1][1][0]_1;0;0
29100;1.04;181[1][1][1][1][0]_2;24;24
29100;22.9;181[1][1][1][1][0]_3;720;720
29100;0.29;181[1][1][1][1][1][0]_0;12;12
29100;;181[1][1][1][1][1][0]_1;0;0
29100;2.8;181[1][1][1][1][1][0]_2;24;24
29100;0.63;181[1][1][1][1][1][0]_3;12;12
29100;;181[1][1][1][1][1][0].76_0;0;0
29100;117.59;181[1][1][1][1][1][0].76_1;84;156
29100;66.75;181[1][1][1][1][1][0].76_2;252;264
29100;26.56;181[1][1][1][1][1][0].76_3;660;576
29100;30.82;182_0;504;372
29100;20.78;182_1;204;288
29100;2.79;183.8_0;84;60
29100;4.37;183.8_1;84;72
29100;3.15;184_0;12;180
29100;5.86;184_1;348;240
29100;;185_0;0;0
29100;0.48;186_0;24;24
29100;0.91;186_1;36;36
29100;0.3;187_0;12;12
29100;;19_0;0;0
29100;;19_1;0;0
29100;2.07;2_0;180;84
29100;3.56;2_1;48;144
29100;4.8;20_0;36;180
29100;2.84;20_1;264;96
29100;;21_0;0;0
29100;;21_1;0;0
29100;56.44;22_0;360;192
29100;4.86;22_1;132;168
29100;;24_0;0;0
29100;;24_1;0;0
29100;1.33;25[0]_0;48;48
29100;0.57;25[0]_1;24;24
29100;1.57;25[1]_0;48;48
29100;3.37;25[1]_1;156;108
29100;39.96;26_0;264;120
29100;69.18;26_1;660;324
29100;2.3;27_0;48;84
29100;2.22;27_1;132;84
29100;30.46;28_0;192;264
29100;36.94;28_1;684;276
29100;7.45;29_0;228;192
29100;0.8;29_1;12;48
29100;38.21;30_0;504;336
29100;24.23;30_1;276;336
29100;4.23;31_0;192;96
29100;2.13;31_1;84;156
